Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical Final,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Jason Whitney,IU Ventures,,,,Venture Capital,www.iuventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"Bloomington, IN",www.iuventures.com,Over $10 Billion,,,,,,,,,,,,
Michael Walsh,Structure Capital,,,,Venture Capital,www.structure.vc,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.05,"San Francisco, CA",www.structure.vc,Over $10 Billion,,,,,,,,,,,,
Carolyn Cassin,BELLE Impact Fund,,,,Venture Capital,www.bellefunds.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.15,"Wayne County, MI",www.bellefunds.com,Under $5 Billion,,,,,,,,,,,,
David A Auerbach,Inspovation Ventures,,,,Venture Capital,www.inspovation.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.05,"Los Altos, CA",www.inspovation.com,$5B to $10B,,,,,,,,,,,,
Thomas Bruderman,MAG Ventures,,,,Venture Capital,www.magventures.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$2.50,,www.magventures.com,$5B to $10B,,,,,,,,,,,,
Devin Carty,Martin Ventures,,,,Venture Capital,www.martinventures.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$3.00,,www.martinventures.com,$5B to $10B,,,,,,,,,,,,
Mark Read,WPP Ventures,,,,Corporate Venture Capital, , ,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.50, , ,$5B to $10B,,,,,,,,,,,,
Daniel Nofal,Enzyme Venture Capital,,,,Venture Capital, ,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$50.00,$250.00,"Buenos Aires, Argentina", ,$5B to $10B,,,,,,,,,,,,
John P. Truehart,Hudson Ventures,,,,Venture Capital,www.hudsonptr.com,"Mid Atlantic, Northeast","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.60,"New York, NY",www.hudsonptr.com,$5B to $10B,,,,,,,,,,,,
Linden Rhoads,The W Fund,,,,Venture Capital,www.thewfund.com,Washington,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$1.00,,www.thewfund.com,Over $10 Billion,,,,,,,,,,,,
John Hamel,Cue Ball,,,,Venture Capital,www.cueball.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$1.50,"Boston, MA",www.cueball.com,Over $10 Billion,,,,,,,,,,,,
Matthew A. King,FCA Venture Partners,,,,Venture Capital,www.fcavp.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.60,"Brentwood, TN",www.fcavp.com,Under $5 Billion,,,,,,,,,,,,
Allison Long Pettine,Crescent Ridge Partners,,,,Venture Capital,www.crescentridgepartners.com,North America,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"San Diego, CA",www.crescentridgepartners.com,Under $5 Billion,,,,,,,,,,,,
Kevin Anthony Kunz,Austin Ventures,,,,Venture Capital,www.austinventures.com,Texas,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$80.00,,www.austinventures.com,Under $5 Billion,,,,,,,,,,,,
Kate Bechtold,Vida Ventures (Boston),,,,Venture Capital,www.vidaventures.com,"Canada, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$5.00,"Los Angeles, CA",www.vidaventures.com,Under $5 Billion,No,8,Over 5X and under 10X,Revenue driven returns,Weak,Outside Reliance,Days,3,10%,Medium,44%,Yes
Daniel P. Penberthy,Rand Capital BDC (NAS: RAND),,,,Business Development Company,www.randcapital.com,New York,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$3.00,,www.randcapital.com,Under $5 Billion,,,,,,,,,,,,
Safa Rashtchy,Think +,,,,Venture Capital,www.thinkplus.vc,"Americas, Canada, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$2.00,,www.thinkplus.vc,$5B to $10B,,,,,,,,,,,,
Lawrence W. Greer,Greer Capital Advisors,,,,Venture Capital,www.greercap.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.20,"Mountain Brook, AL",www.greercap.com,$5B to $10B,,,,,,,,,,,,
Yatin Patil,D4HI,,,,Venture Capital,www.d4hi.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.20,$0.50,"Cumming, GA",www.d4hi.com,$5B to $10B,,,,,,,,,,,,
Thomas Bliska,Crosslink Capital,,,,Venture Capital,www.crosslinkcapital.com,"United States, Western Europe","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.80,"San Francisco, CA",www.crosslinkcapital.com,$5B to $10B,,,,,,,,,,,,
Arun Ramamoorthy,Pinnacle Ventures,,,,Venture Capital,pinnacleventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$25.00,,pinnacleventures.com,Over $10 Billion,,,,,,,,,,,,
Joseph Edelman,Perceptive Advisors,,,,Hedge Fund,www.perceptivelife.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$10.00,"New York, NY",www.perceptivelife.com,Over $10 Billion,,,,,,,,,,,,
Asheem Chandna,Greylock Partners,,,,Venture Capital,www.greylock.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$200.00,$0.05,"Menlo Park, CA",www.greylock.com,Over $10 Billion,,,,,,,,,,,,
Clay Corman,Collective Capital Ventures,,,,Venture Capital,www.ccventures.co,Southeast,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$10.00,,www.ccventures.co,Under $5 Billion,,,,,,,,,,,,
Andre Bliznyuk,Runa Capital,,,,Venture Capital,www.runacap.com,"California, England, France, Germany, North America, Russia, Southern California","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$1.00,"Palo Alto, CA",www.runacap.com,Under $5 Billion,,,,,,,,,,,,
Jonathan Gosier,Southbox,,,,Venture Capital,www.southbox.io,"Georgia, North America","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"Philadelphia, PA",www.southbox.io,$5B to $10B,,,,,,,,,,,,
Richard Chilton,BlueWing Ventures,,,,Venture Capital,www.bluewing.vc, ,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.05,"Washington, DC",www.bluewing.vc,$5B to $10B,,,,,,,,,,,,
Michael Biggee,Trident Capital,,,,Venture Capital,www.tridentcap.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.25,$30.00,"San Mateo, CA",www.tridentcap.com,$5B to $10B,,,,,,,,,,,,
James Lee,Vertex Holdings,,,,Venture Capital,www.vertexholdings.com,"California, China, Israel, Southeast Asia, Taiwan, Western Europe","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$20.00,,www.vertexholdings.com,$5B to $10B,,,,,,,,,,,,
Chester Schwartz,Waveland Ventures,,,,Venture Capital,www.wavelandventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.25,"Austin, TX",www.wavelandventures.com,Over $10 Billion,Yes,90,10X and above,IPO,Heavily Supportive,Heavily Involved ,Months,4,20%,High,56%,Yes
Barry E. Silbert,Digital Currency Group,,,,Corporate Venture Capital,www.dcg.co, ,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.10,"New York, NY",www.dcg.co,Over $10 Billion,,,,,,,,,,,,
Steve Brotman,Alpha Partners,,,,Venture Capital,www.alphapartners.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$5.00,"New York, NY",www.alphapartners.com,Over $10 Billion,,,,,,,,,,,,
,Aslanoba Capital,,,,Venture Capital,www.aslanobacapital.com,Turkey,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.21,"Istanbul, Turkey",www.aslanobacapital.com,Over $10 Billion,,,,,,,,,,,,
Chih-Kai Cheng,Harbinger Venture Management,,,,Venture Capital,www.harbingervc.com,"Asia, North America","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.50,"Taipei, Taiwan",www.harbingervc.com,Over $10 Billion,,,,,,,,,,,,
Jennifer Zimmerman,General Catalyst,,,,Venture Capital,www.generalcatalyst.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$2.00,,www.generalcatalyst.com,$5B to $10B,,,,,,,,,,,,
Wendy Coya,Vocap Investment Partners,,,,Venture Capital,www.vocappartners.com,"Mid Atlantic, New England, South, Southeast","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.20,$0.60,"Atlanta, GA",www.vocappartners.com,$5B to $10B,No,900,Over 5X and under 10X,Liquidation,Weak,Accept Others DD Reports,Weeks,4,30%,High,75%,Case by case
Anne Rogove Stone,Gurnet Point Capital,,,,PE/Buyout,www.gurnetpointcapital.com,"Canada, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$100.00,"Cambridge, MA",www.gurnetpointcapital.com,$5B to $10B,,,,,,,,,,,,
Phil K. Yoon,Big Basin Capital,,,,Venture Capital,www.bigbasincapital.com,"North Korea, South Korea, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$1.00,,www.bigbasincapital.com,Over $10 Billion,,,,,,,,,,,,
Tadd S. Wessel,Petrichor Healthcare Capital Management,,,,PE/Buyout,www.petrichorcap.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$10.00,$50.00,"New York, NY",www.petrichorcap.com,Over $10 Billion,,,,,,,,,,,,
Jewel Burks Solomon,Collab Studio,,,,Venture Capital,www.collab.capital,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.02,$0.10,"Atlanta, GA",www.collab.capital,Under $5 Billion,,,,,,,,,,,,
Hilary Strain,Wing Venture Capital,,,,Venture Capital,www.wing.vc,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$8.00,$10.00,"Palo Alto, CA",www.wing.vc,Under $5 Billion,,,,,,,,,,,,
Argeris N. Karabelas,Care Capital,,,,Venture Capital,www.carecapital.com,"Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$2.00,"Avon by the Sea, NJ",www.carecapital.com,Under $5 Billion,,,,,,,,,,,,
James G. Schiff,Northwood Ventures,,,,PE/Buyout,www.northwoodventures.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$4.00,$12.00,"Syosset, NY",www.northwoodventures.com,Under $5 Billion,,,,,,,,,,,,
Rob Go,NextView Ventures,,,,Venture Capital,www.nextview.vc,North America,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.15,"Boston, MA",www.nextview.vc,Under $5 Billion,,,,,,,,,,,,
Roddy J.H. Clark,Redmont Capital,,,,Mezzanine,www.redmontcapital.com,"Southeast, Texas","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$4.00,,www.redmontcapital.com,$5B to $10B,,,,,,,,,,,,
Sandeep Singhal,WestBridge Capital Partners,,,,Venture Capital,www.westbridgecap.com,India,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$8.00,"Ebene, Mauritius",www.westbridgecap.com,Over $10 Billion,No,4,10X and above,IPO,Heavily Supportive,Heavily Involved ,Months,1,,High,12%,No
Alice Linnehan Smith,LaunchCapital,,,,Venture Capital,www.launchcapital.com,"Bay Area, New York","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.01,"New Haven, CT",www.launchcapital.com,Over $10 Billion,,,,,,,,,,,,
Michael Kubzansky,Omidyar Network,,,,Impact Investing,www.omidyar.com,"Africa, Asia, Central America, Europe, South America, United States","Pre-SEED,Series A,SEED",Grant,$0.05,$1.00,"Redwood City, CA",www.omidyar.com,Over $10 Billion,,,,,,,,,,,,
Rick DeVos,Wakestream Ventures,,,,Venture Capital,www.wakestreamventures.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.50,$0.15,"Grand Rapids, MI",www.wakestreamventures.com,Under $5 Billion,,,,,,,,,,,,
Jeffrey P. Blanchard,First Capital Group,,,,Growth/Expansion,www.firstcapitalgroup.com,"Southwest, Texas","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.20,$0.60,"San Antonio, TX",www.firstcapitalgroup.com,Under $5 Billion,,,,,,,,,,,,
Calvin Goforth,VIC Technology Venture Development,,,,Venture Capital,www.victech.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.25,$0.50,"Fayetteville, AR",www.victech.com,Under $5 Billion,,,,,,,,,,,,
Ajay Chopra,Trinity Ventures,,,,Venture Capital,www.trinityventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.20,$2.50,"Menlo Park, CA",www.trinityventures.com,Under $5 Billion,,,,,,,,,,,,
Lu Zhang,Fusion Fund,,,,Venture Capital,www.fusionfund.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$3.00,,www.fusionfund.com,$5B to $10B,,,,,,,,,,,,
Frank Rimalovski,NYU Innovation Venture Fund,,,,Accelerator/Incubator,entrepreneur.nyu.edu/resource/innovation-venture-fund,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$10.00,,entrepreneur.nyu.edu/resource/innovation-venture-fund,$5B to $10B,,,,,,,,,,,,
T.J. Jubeir,New Horizons Venture Capital,,,,Venture Capital,www.newhorizonsvc.com,Mid Atlantic,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$4.00,,www.newhorizonsvc.com,$5B to $10B,,,,,,,,,,,,
Sean O'Sullivan,SOSV,,,,Venture Capital,www.sosv.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$2.50,$0.03,"Princeton, NJ",www.sosv.com,$5B to $10B,,,,,,,,,,,,
Mark Levine,Core Capital Partners,,,,Venture Capital,www.core-capital.com,Mid Atlantic,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.20,"Washington, DC",www.core-capital.com,Over $10 Billion,,,,,,,,,,,,
Matthew D. Eitner,Laidlaw & Company,,,,Investment Bank,www.laidlawltd.com,"Israel, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$5.00,,www.laidlawltd.com,Over $10 Billion,,,,,,,,,,,,
Tal Elyashiv,SPiCE VC,,,,Venture Capital,www.spicevc.com, ,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.30,$0.50,"Singapore, Singapore",www.spicevc.com,Over $10 Billion,,,,,,,,,,,,
Matías Nisenson,Myelin VC,,,,Venture Capital,myelin.vc, ,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.03,"Buenos Aires, Argentina",myelin.vc,Under $5 Billion,,,,,,,,,,,,
Rick DeVos,Wakestream Ventures,,,,Venture Capital,www.wakestreamventures.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.50,$0.15,"Grand Rapids, MI",www.wakestreamventures.com,Under $5 Billion,,,,,,,,,,,,
Artia Moghbel,Draft Ventures,,,,Venture Capital,draftvc.com,"Bay Area, New York, South, Southern California, West Coast","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.05,"San Francisco, CA",draftvc.com,Under $5 Billion,,,,,,,,,,,,
Sean Seton-Rogers,PROfounders Capital,,,,Venture Capital,www.profounderscapital.com,Europe,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.12,$0.36,"London, United Kingdom",www.profounderscapital.com,$5B to $10B,,,,,,,,,,,,
Freada Kapor Klein,Kapor Capital,,,,Venture Capital,www.kaporcapital.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.03,"Oakland, CA",www.kaporcapital.com,$5B to $10B,,,,,,,,,,,,
Charles Schwab,Big Sky Partners,,,,Venture Capital,www.bigskyvc.com, ,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.10,"Sausalito, CA",www.bigskyvc.com,$5B to $10B,,,,,,,,,,,,
John Leckrone,Adobe Ventures,,,,Corporate Venture Capital, https://www.adobe.com/ventures.html,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.50,"San Jose, CA", ,$5B to $10B,,,,,,,,,,,,
Donald R. Scifres,SDL Ventures,,,,Venture Capital,www.sdlventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$2.00,,www.sdlventures.com,$5B to $10B,,,,,,,,,,,,
Steven Blackburn,AGS Capital Group,,,,Venture Capital,www.ags-capital.com,,"Pre-SEED,Series A,SEED","Debt,Loan",$0.20,$3.00,"Indianapolis, IN",www.ags-capital.com,Over $10 Billion,,,,,,,,,,,,
Michael C. Skaff,Seneca Partners,,,,Investment Bank,www.senecapartners.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$20.00,,www.senecapartners.com,Over $10 Billion,,,,,,,,,,,,
Jeanne Hebert,Cove Fund,,,,Growth/Expansion,www.covefund.com,Southern California,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.50,"Irvine, CA",www.covefund.com,Over $10 Billion,,,,,,,,,,,,
Colin Beirne,Two Sigma Ventures,,,,Venture Capital,twosigmaventures.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$5.00,$10.00,"New York, NY",twosigmaventures.com,Over $10 Billion,,,,,,,,,,,,
Thomas Peterson,Social Leverage,,,,Venture Capital,www.socialleverage.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.20,"Scottsdale, AZ",www.socialleverage.com,Over $10 Billion,,,,,,,,,,,,
Kathy Chen,Ulu Ventures,,,,Venture Capital,www.uluventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.08,$0.10,"Palo Alto, CA",www.uluventures.com,Under $5 Billion,No,115,10X and above,"IPO,Liquidation",Weak,Heavily Involved ,Weeks,2,70%,High,45%,No
Stephen R. Haynes,Glengary,,,,Venture Capital,glengaryllc.com,Ohio,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.15,"Beachwood, OH",glengaryllc.com,Under $5 Billion,,,,,,,,,,,,
Tatsuo Tsutsumi,STRIVE (VC Investor),,,,Corporate Venture Capital,www.strive.vc,"India, Japan, Southeast Asia","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.30,"Tokyo, Japan",www.strive.vc,Under $5 Billion,,,,,,,,,,,,
Bryant E. Fong,Biomark Capital,,,,PE/Buyout,www.biomarkcapital.com,"China, India, North America, Russia, Taiwan","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$1.00,"Greenwich, CT",www.biomarkcapital.com,Under $5 Billion,,,,,,,,,,,,
Benjamin Belldegrun,Pontifax Global Food and Agriculture Technology Fund,,,,Venture Capital,www.pontifaxagtech.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$10.00,$30.00,"Los Angeles, CA",www.pontifaxagtech.com,Under $5 Billion,,,,,,,,,,,,
Michael Burychka,IP Group North America,,,,Venture Capital,www.ipgroup-inc.com,"North America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$1.00,"Wilmington, DE",www.ipgroup-inc.com,$5B to $10B,,,,,,,,,,,,
James B. Hoover,Dauphin Capital Partners,,,,Family Office,www.dauphincapital.com,"Mid Atlantic, Northeast, South","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.20,"Locust Valley, NY",www.dauphincapital.com,$5B to $10B,,,,,,,,,,,,
Kristen Margeson,Atlas Venture,,,,Venture Capital,www.atlasventure.com,New England,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$25.00,,www.atlasventure.com,Over $10 Billion,,,,,,,,,,,,
Todd T. Pietri,Activate Venture Partners,,,,Venture Capital,www.activatevp.com,"New York, New York Metro, Pennsylvania","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.75,$3.00,,www.activatevp.com,Over $10 Billion,,,,,,,,,,,,
James Lee,Vertex Holdings,,,,Venture Capital,www.vertexholdings.com,"California, China, Israel, Southeast Asia, Taiwan, Western Europe","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$20.00,,www.vertexholdings.com,Over $10 Billion,,,,,,,,,,,,
Bernard W. Gray,Gray Ventures,,,,Venture Capital,www.grayventures.com,"Northeast, Northwest, Southeast, Southern California, Southwest, US Territories","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$3.00,,www.grayventures.com,Over $10 Billion,,,,,,,,,,,,
Peter Lee,Baroda Ventures,,,,Venture Capital,www.barodaventures.com,California,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.50,"Beverly Hills, CA",www.barodaventures.com,Under $5 Billion,,,,,,,,,,,,
Charlie Goff,New Capital Fund,,,,Venture Capital,www.newcapitalfund.com,"Illinois, Indiana, Iowa, Michigan, Minnesota, Wisconsin","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$4.50,,www.newcapitalfund.com,Under $5 Billion,,,,,,,,,,,,
Philip Sanger,TEXO Ventures,,,,Venture Capital,www.texoventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$10.00,,www.texoventures.com,Under $5 Billion,,,,,,,,,,,,
Bradley S. Sheftel,Valor Equity Partners,,,,Growth/Expansion,www.valorep.com,North America,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$7.50,"Chicago, IL",www.valorep.com,$5B to $10B,No,40,2X - 5X,"Acquisition,Liquidation",On Demand,Via Due Diligence Committee,Weeks,4,50%,Low,33%,Yes
Guy Russo,Canaan Partners,,,,Venture Capital,www.canaan.com,"Israel, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$8.00,"San Francisco, CA",www.canaan.com,$5B to $10B,,,,,,,,,,,,
Paul Easter Yoo,500 Global,,,,Venture Capital,www.500.co,"Europe, India, Japan, Southeast Asia, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.03,"San Francisco, CA",www.500.co,$5B to $10B,,,,,,,,,,,,
Lena Giacomini,Foundry Group,,,,Venture Capital,www.foundrygroup.com,"Canada, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.05,"Boulder, CO",www.foundrygroup.com,$5B to $10B,,,,,,,,,,,,
Hilary Strain,Wing Venture Capital,,,,Venture Capital,www.wing.vc,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$8.00,$10.00,"Palo Alto, CA",www.wing.vc,Over $10 Billion,,,,,,,,,,,,
Dmitry Kuzmin,4BIO Capital Partners,,,,Venture Capital,www.4biocapital.com,"Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.30,$1.00,"London, United Kingdom",www.4biocapital.com,Over $10 Billion,,,,,,,,,,,,
Jeffrey T. Diehl,Adams Street Partners,,,,Fund of Funds,www.adamsstreetpartners.com,"North America, South America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$3.00,"Chicago, IL",www.adamsstreetpartners.com,Over $10 Billion,,,,,,,,,,,,
Michael S. Beaudoin,Mark IV Capital,,,,Real Estate,www.markiv.com,"Colorado, Southern California, Texas","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.50,"Newport Beach, CA",www.markiv.com,$5B to $10B,,,,,,,,,,,,
Hazel Chen,Shima Capital,,,,Venture Capital,shima.capital, ,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.50, ,shima.capital,$5B to $10B,,,,,,,,,,,,
Brian Brackeen,Lightship Capital (Ohio),,,,Venture Capital,www.lightship.capital,Midwest,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.60,"Cincinnati, OH",www.lightship.capital,$5B to $10B,,,,,,,,,,,,
Bob Rees,Startup Capital Ventures,,,,Venture Capital,startupcv.com,"California, Hawaii","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.10,"Menlo Park, CA",startupcv.com,$5B to $10B,,,,,,,,,,,,
