Investor Name,Fund from Fund Master,Industry,Industry Copy,Vertical,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Type,Max Check size,Min check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Katie Riester,Felicis Ventures,"Business Products and Services (B2B),Consumer Products and Services (B2C),Financial Services,Healthcare,Software",,"AgTech,Artificial Intelligence & Machine Learning,B2B Payments,Big Data,Cybersecurity,Digital Health,E-Commerce,EdTech,FemTech,FinTech,FoodTech,Gaming,HealthTech,HR Tech,Infrastructure,InsurTech,Life Sciences,Mobile,Mobile Commerce,Mortgage Tech,Pet Technology,Real Estate Technology,Restaurant Technology,Robotics and Drones,SaaS,TMT,Wearables & Quantified Self",Venture Capital,www.felicis.com,"Australia, Canada, Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",30.00,1.00,"Menlo Park, CA",www.felicis.com,,,,,,,,,,,,,,,
Matthew A. King,FCA Venture Partners,"Commercial Services,Healthcare Services,Healthcare Technology Systems",,"Digital Health,HealthTech,SaaS",Venture Capital,www.fcavp.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",6.00,1.00,"Brentwood, TN",www.fcavp.com,,,,,,,,,,,,,,,
Matthew Saunders,Fastbreak Ventures,"Business Products and Services (B2B),Business/Productivity Software,Financial Services,Healthcare,IT Services,Real Estate Services (B2C)",,"Digital Health,FinTech,HealthTech,Real Estate Technology,SaaS,TMT",Venture Capital,www.fastbreak.co,North America,"Early Stage,Seed","Convertible Debt,SAFE,Debt",0.25,0.10,"Toronto, Canada",www.fastbreak.co,,,,,,,,,,,,,,,
Tony Schell,Escalate Capital Partners,"Healthcare Technology Systems,IT Services,Other Information Technology,Software",,"HealthTech,Internet of Things,SaaS",Mezzanine,www.escalatecapital.com,United States,"Buy-out,Early Stage,Late Stage,Mezzanine,PE Growth/Expansion,Seed",Debt,15.00,3.00,"Austin, TX",www.escalatecapital.com,,,,,,,,,,,,,,,
Kees Koolen,EQT Ventures,Software,,SaaS,Venture Capital,www.eqtventures.com,"Europe, United States","Early Stage,Late Stage,Out of Business,Seed","Convertible Debt,SAFE,Debt",88.25,1.18,"Stockholm, Sweden",www.eqtventures.com,,,,,,,,,,,,,,,
Timothy Young,Eniac Ventures,"Business Products and Services (B2B),Financial Services,Healthcare,Retail,Software",,"Artificial Intelligence & Machine Learning,TMT",Venture Capital,www.eniac.vc,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.20,"San Francisco, CA",www.eniac.vc,,,,,,,,,,,,,,,
Ashmeet Sidana,Engineering Capital,Software,,"Cybersecurity,SaaS,TMT",Venture Capital,www.engineeringcapital.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.50,"San Francisco, CA",www.engineeringcapital.com,,,,,,,,,,,,,,,
Bernard Vogel,Endeavour Vision,"Healthcare Devices and Supplies,Pharmaceuticals and Biotechnology,Software",,"Life Sciences,Wearables & Quantified Self",Venture Capital,www.endeavourvision.com,"Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",25.00,5.00,"Geneva, Switzerland",www.endeavourvision.com,,,,,,,,,,,,,,,
David Mandel,Emerging Ventures,"Aerospace and Defense,Agriculture,Commercial Transportation,Consumer Products and Services (B2C),Electrical Equipment,Energy,Healthcare,Industrial Supplies and Parts,Internet Service Providers,IT Services,Machinery (B2B),Other Business Products and Services,Other Commercial Products,Other Communications and Networking,Other Information Technology,Other Materials,Software,Telecommunications Service Providers,Wireless Communications Equipment,Wireless Service Providers",,"Advanced Manufacturing,AgTech,Artificial Intelligence & Machine Learning,Augmented Reality,Autonomous cars,Car-Sharing,CleanTech,Climate Tech,Construction Technology,Digital Health,HealthTech,Industrials,Internet of Things,Life Sciences,LOHAS & Wellness,Micro-Mobility,Mobility Tech,Nanotechnology,Ridesharing,Robotics and Drones,SaaS,Space Technology,TMT,Virtual Reality,Wearables & Quantified Self",Venture Capital,www.emerging.vc,"Canada, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",0.25,0.10,"Calabasas, CA",www.emerging.vc,,,,,,,,,,,,,,,
Rajesh Kamat,Emerald Media Advisors,"Commercial Services,Media",,TMT,Growth/Expansion,www.emeraldmedia.asia,Asia,"Late Stage,PE Growth/Expansion","Convertible Debt,SAFE,Debt",75.00,20.00,"Mumbai, India",www.emeraldmedia.asia,,,,,,,,,,,,,,,
Ting Gootee,Elevate Ventures,"Agriculture,Commercial Products,Healthcare Devices and Supplies,Other Business Products and Services,Other Consumer Products and Services,Other Healthcare,Pharmaceuticals and Biotechnology,Software",,"Advanced Manufacturing,AgTech,Digital Health,HealthTech,Life Sciences,Manufacturing,TMT",Venture Capital,www.elevateventures.com,Indiana,"Early Stage,Seed","Convertible Debt,SAFE,Debt",0.02,2.00,"Indianapolis, IN",www.elevateventures.com,,,,,,,,,,,,,,,
Nitin Rai,Elevate Capital,"Business Products and Services (B2B),Consumer Products and Services (B2C),Financial Services,Healthcare,Information Technology",,"B2B Payments,Cryptocurrency/Blockchain,E-Commerce,FemTech,FinTech,FoodTech,HealthTech,InsurTech,Internet of Things,Life Sciences,Marketing Tech,SaaS",Venture Capital,www.elevate.vc,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.03,"Hillsboro, OR",www.elevate.vc,,,,,,,,,,,,,,,
Alex Prescot,Eight Roads,"Commercial Services,Financial Services,Healthcare,Software",,"Digital Health,FinTech,HealthTech,Industrials,Micro-Mobility,SaaS,TMT",Venture Capital,www.eightroads.com,"Asia, Europe, North America","Early Stage,Late Stage,PE Growth/Expansion","Convertible Debt,SAFE,Debt",10.00,30.00,"London, United Kingdom",www.eightroads.com,,,,,,,,,,,,,,,
Sophia Collier,Point Reyes Management,Software,,"SaaS,TMT",Venture Capital,www.efund.com,Texas,"Angel Round,Early Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.05,"Sausalito, CA",www.efund.com,,,,,,,,,,,,,,,
Chula Reynolds,Point Reyes Management,Software,,"SaaS,TMT",Venture Capital,www.efund.com,Texas,"Angel Round,Early Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.05,"Sausalito, CA",www.efund.com,,,,,,,,,,,,,,,
Kelly Ford Buckley,Edison Partners,"Business/Productivity Software,Financial Software,Healthcare Technology Systems,Other Software",,"AdTech,Artificial Intelligence & Machine Learning,B2B Payments,Big Data,CloudTech & DevOps,Cybersecurity,Digital Health,FinTech,HealthTech,HR Tech,InsurTech,Internet of Things,Legal Tech,Marketing Tech,Mobile,Mortgage Tech,Real Estate Technology,SaaS,Supply Chain Tech",Venture Capital,www.edisonpartners.com,"Canada, DC Metro, Great Lakes, Mid Atlantic, Midwest, Mountain, New England, New York Metro, Northeast, Northwest, South, Southeast, Southern California, Southwest, US Territories, West Coast","Late Stage,PE Growth/Expansion","Convertible Debt,SAFE,Debt",30.00,10.00,"Princeton, NJ",www.edisonpartners.com,,,,,,,,,,,,,,,
Harry Edelson,Edelson Technology Partners,"Communications and Networking,Software",,"Manufacturing,Mobile,TMT",Venture Capital,www.edelsontech.com,"Asia, Canada, Europe, United States","Early Stage,Late Stage,Mezzanine,Seed","Convertible Debt,SAFE,Debt",3.00,1.00,"Montvale, NJ",www.edelsontech.com,,,,,,,,,,,,,,,
Michael F. Dale,Eastward Capital Partners,"Electronic Components,IT Services,Software",,"E-Commerce,HealthTech,Mobile,SaaS,TMT",Venture Capital,www.eastwardcp.com,"Mid Atlantic, New England, North America, Southeast","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,8.00,"West Newton, MA",www.eastwardcp.com,,,,,,,,,,,,,,,
Daniel Santamarina,Dux Capital,"Containers and Packaging,Other Restaurants,Hotels and Leisure,Retail,Software",,"Artificial Intelligence & Machine Learning,Cannabis,CleanTech,E-Commerce,EdTech,FinTech,Internet of Things,Robotics and Drones,SaaS",Venture Capital,www.duxcapital.vc,"Central America, Mexico, South America, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.05,"Mexico City, Mexico",www.duxcapital.vc,,,,,,,,,,,,,,,
Jessica Straus,Dundee Venture Capital,"Business Products and Services (B2B),Financial Services,Other Consumer Products and Services,Other Information Technology,Real Estate Services (B2C),Software",,"AgTech,Artificial Intelligence & Machine Learning,B2B Payments,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,E-Commerce,FinTech,Infrastructure,Internet of Things,Manufacturing,Mobile,Mobile Commerce,SaaS,Supply Chain Tech",Venture Capital,www.dundeeventurecapital.com,"Midwest, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.25,0.50,"Omaha, NE",www.dundeeventurecapital.com,,,,,,,,,,,,,,,
Jay Katarincic,Draper Triangle Ventures,Software,,"Artificial Intelligence & Machine Learning,Big Data,Robotics and Drones,SaaS",Venture Capital,www.drapertriangle.com,Midwest,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",7.00,0.10,"Pittsburgh, PA",www.drapertriangle.com,,,,,,,,,,,,,,,
Warren Rogers,Downing Ventures,"Education and Training Services (B2B),Healthcare,Software",,"Big Data,E-Commerce,EdTech,HealthTech,Micro-Mobility",Venture Capital,www.downingventures.com,"Asia, Middle East, United Kingdom, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",13.67,1.37,"London, United Kingdom",www.downingventures.com,,,,,,,,,,,,,,,
Michael Lee,Dominion Ventures,"Computer Hardware,Healthcare Devices and Supplies,Healthcare Technology Systems,IT Services,Software",,"FinTech,Manufacturing,Mobile Commerce,SaaS,TMT",Venture Capital,www.dominion.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,1.00,"Walnut Creek, CA",www.dominion.com,,,,,,,,,,,,,,,
,Dolphin Equity Partners,"Communications and Networking,Software",,TMT,Venture Capital,www.dolphinequity.com,"Canada, United States, Western Europe","Early Stage,Late Stage,PE Growth/Expansion","Convertible Debt,SAFE,Debt",5.00,2.50,"New York, NY",www.dolphinequity.com,,,,,,,,,,,,,,,
Michael A. Pucker,DNS Capital,"Consumer Products and Services (B2C),Information Technology",,"AgTech,Industrials,Manufacturing,Real Estate Technology,TMT",Family Office,www.dnscap.com,United States,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",100.00,10.00,"Chicago, IL",www.dnscap.com,,,,,,,,,,,,,,,
Matthew T. Potter,Delphi Ventures,"Healthcare Devices and Supplies,Pharmaceuticals and Biotechnology",,Life Sciences,Venture Capital,www.delphiventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",20.00,0.50,"San Mateo, CA",www.delphiventures.com,,,,,,,,,,,,,,,
,Deep Space Ventures,Software,,TMT,Venture Capital,www.deepspacevc.com,Texas,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.05,"Dallas, TX",www.deepspacevc.com,,,,,,,,,,,,,,,
Ian Warwick,Deepbridge Capital,"Business Products and Services (B2B),Healthcare,Information Technology",,"AgTech,Artificial Intelligence & Machine Learning,AudioTech,Big Data,CleanTech,Climate Tech,CloudTech & DevOps,Cybersecurity,Digital Health,EdTech,FemTech,FinTech,FoodTech,HealthTech,HR Tech,Impact Investing,InsurTech,Legal Tech,Life Sciences,Mobile,Mobility Tech,Nanotechnology,Robotics and Drones,SaaS,Space Technology",Venture Capital,www.deepbridgecapital.com,United Kingdom,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",6.74,0.13,"Chester, United Kingdom",www.deepbridgecapital.com,,,,,,,,,,,,,,,
Barry E. Silbert,Digital Currency Group,"Other Financial Services,Software",,"Cryptocurrency/Blockchain,FinTech",Corporate Venture Capital,www.dcg.co, ,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.25,"New York, NY",www.dcg.co,,,,,,,,,,,,,,,
Cynthia Ringo,DBL Partners,"Consumer Durables,Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems,Other Consumer Products and Services,Other Energy,Other Healthcare,Other Information Technology,Pharmaceuticals and Biotechnology,Software,Transportation",,"Advanced Manufacturing,CleanTech,Digital Health,HealthTech,Internet of Things,LOHAS & Wellness,Manufacturing,Micro-Mobility,Mobile,SaaS,TMT",Venture Capital,www.dbl.vc,"Africa, Central America, North America","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",10.00,1.00,"San Francisco, CA",www.dbl.vc,,,,,,,,,,,,,,,
James B. Hoover,Dauphin Capital Partners,"Commercial Services,Healthcare Services,Software",,"HealthTech,Industrials,TMT",Family Office,www.dauphincapital.com,"Mid Atlantic, Northeast, South","Buy-out,Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.00,1.00,"Locust Valley, NY",www.dauphincapital.com,,,,,,,,,,,,,,,
Scott L Savitz,Data Point Capital,"IT Services,Software",,"AdTech,B2B Payments,Big Data,CleanTech,Digital Health,E-Commerce,FinTech,HealthTech,InsurTech,Internet of Things,Marketing Tech,Mobile,SaaS,TMT",Venture Capital,www.datapointcapital.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.50,"Boston, MA",www.datapointcapital.com,,,,,,,,,,,,,,,
Arijana Rageth Walcott,DART Labs,"Commercial Products,Commercial Services,Healthcare Devices and Supplies,Healthcare Services,Information Technology,Other Business Products and Services,Other Healthcare",,"Advanced Manufacturing,CleanTech,FoodTech,HealthTech",Accelerator/Incubator,www.dartlabs.io,"Europe, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",0.59,0.12,"Zuerich, Switzerland",www.dartlabs.io,,,,,,,,,,,,,,,
Daniel Darling,Darling Ventures,Software,,"Mobile,TMT",Venture Capital,www.darlingventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.10,"San Francisco, CA",www.darlingventures.com,,,,,,,,,,,,,,,
John Hamel,Cue Ball,Software,,"AdTech,Augmented Reality,Big Data,Digital Health,E-Commerce,HealthTech,Internet of Things,Life Sciences,LOHAS & Wellness,Mobile,Mobile Commerce,SaaS,TMT",Venture Capital,www.cueball.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",15.00,0.25,"Boston, MA",www.cueball.com,,,,,,,,,,,,,,,
Palaniswamy V. Rajan,CTW Venture Partners,"IT Services,Software",,"Cybersecurity,TMT",Venture Capital,www.ctwvp.com,Southeast,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",3.00,1.00,"Cumming, GA",www.ctwvp.com,,,,,,,,,,,,,,,
Thomas Bliska,Crosslink Capital,"Commercial Services,Entertainment Software,Healthcare Technology Systems,Other Software",,"AdTech,Big Data,Cybersecurity,E-Commerce,FinTech,Internet of Things,Marketing Tech,Mobile,SaaS",Venture Capital,www.crosslinkcapital.com,"United States, Western Europe","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",8.00,1.00,"San Francisco, CA",www.crosslinkcapital.com,,,,,,,,,,,,,,,
Romana Brown,Cross Creek,"Computer Hardware,Software",,"HealthTech,Impact Investing,Life Sciences,SaaS,TMT",Venture Capital,www.crosscreek.vc,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",5.00,1.00,"Salt Lake City, UT",www.crosscreek.vc,,,,,,,,,,,,,,,
Allison Long Pettine,Crescent Ridge Partners,"Consumer Durables,Software",,"HealthTech,LOHAS & Wellness,TMT",Venture Capital,www.crescentridgepartners.com,North America,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.10,"San Diego, CA",www.crescentridgepartners.com,,,,,,,,,,,,,,,
David Dickel,Crédit Mutuel Equity,"Commercial Services,Communications and Networking,Consumer Non-Durables,Energy Services,Software",,"Life Sciences,Manufacturing",Growth/Expansion,www.creditmutuel-equity.eu,Canada,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",39.05,3.90,"Paris, France",www.creditmutuel-equity.eu,,,,,,,,,,,,,,,
Bertrand de Talhouet,Creadev,"Business Products and Services (B2B),Commercial Services",,"AgTech,CleanTech,FoodTech,HealthTech,TMT",Family Office,www.creadev.com,France,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",113.00,2.26,"Paris, France",www.creadev.com,,,,,,,,,,,,,,,
,Crosspoint Venture Partners,"Communications and Networking,Healthcare Services,Pharmaceuticals and Biotechnology,Semiconductors,Software",,"SaaS,TMT",Venture Capital,www.cpvp.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",40.00,5.00,"Redwood City, CA",www.cpvp.com,,,,,,,,,,,,,,,
Steve Rector,Cowles Company,Software,,"CleanTech,Manufacturing,Real Estate Technology",Family Office,www.cowlescompany.com,"Midwest, Mountain, Northwest, West Coast","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",5.00,0.25,"Spokane, WA",www.cowlescompany.com,,,,,,,,,,,,,,,
Aileen Lee,Cowboy Ventures,"Business Products and Services (B2B),Computer Hardware,Media,Other Consumer Products and Services,Services (Non-Financial),Software",,"Artificial Intelligence & Machine Learning,CloudTech & DevOps,EdTech,Legal Tech,Mobile,SaaS,TMT",Venture Capital,www.cowboy.vc,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",4.00,0.50,"Palo Alto, CA",www.cowboy.vc,,,,,,,,,,,,,,,
Jeff Williams,Covera Ventures,Software,,"Cybersecurity,Infrastructure,Mobile,SaaS,TMT",Venture Capital,www.coveraventures.com,"Canada, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,1.00,"Austin, TX",www.coveraventures.com,,,,,,,,,,,,,,,
Jeanne Hebert,Cove Fund,Communications and Networking,,"3D Printing,AdTech,B2B Payments,Cybersecurity,E-Commerce",Growth/Expansion,www.covefund.com,Southern California,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,0.25,"Irvine, CA",www.covefund.com,,,,,,,,,,,,,,,
Grant A. Jackson,Council Capital,"Communications and Networking,Computer Hardware,Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems,Other Healthcare,Pharmaceuticals and Biotechnology,Semiconductors,Software",,"Digital Health,HealthTech,TMT",PE/Buyout,www.councilcapital.com,United States,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",10.00,2.00,"Nashville, TN",www.councilcapital.com,,,,,,,,,,,,,,,
David C. Blivin,Cottonwood Technology Fund,"Communications and Networking,Energy,Laboratory Services (Healthcare),Other Materials,Other Textiles,Specialty Chemicals",,"3D Printing,CleanTech,Life Sciences,Manufacturing,Mobile,Nanotechnology,Robotics and Drones",Venture Capital,www.cottonwood.vc,"Northern Europe, Southwest, Western Europe","Early Stage,Seed","Convertible Debt,SAFE,Debt",3.00,1.00,"Santa Fe, NM",www.cottonwood.vc,,,,,,,,,,,,,,,
Susan Moring,Cortado Ventures,"Aerospace and Defense,Biotechnology,Energy,Other Information Technology",,"AgTech,CleanTech,Digital Health,FinTech,Life Sciences,Manufacturing",Venture Capital,www.cortado.ventures,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",2.00,0.10,"Oklahoma City, OK",www.cortado.ventures,,,,,,,,,,,,,,,
Grace Chui-Miller,Correlation Ventures,"Business Products and Services (B2B),Consumer Products and Services (B2C),Energy,Financial Services,Healthcare,Information Technology,Materials and Resources",,"3D Printing,AdTech,Big Data,CleanTech,Cybersecurity,E-Commerce,EdTech,FinTech,HealthTech,Infrastructure,Internet of Things,Life Sciences,LOHAS & Wellness,Manufacturing,Marketing Tech,Mobile,Nanotechnology,Oncology,Robotics and Drones,SaaS,Wearables & Quantified Self",Venture Capital,www.correlationvc.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",4.00,0.10,"San Francisco, CA",www.correlationvc.com,,,,,,,,,,,,,,,
